title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
(幸福我家）东三环 白家庄东里 民航家属楼 电梯房 近地铁,2室1厅1卫, 高楼层/16层 ,团结湖 白家庄东里 · 距离地铁团结湖569米,61.09 平米 , 南 , 1991年建,6 人关注 , 2020-01-15发布,近地铁随时看,单价63840元/m²,390万
电梯楼，大阳台，精装修拎包住，采光好，满五年商品房。,2室1厅1卫, 高楼层/23层 ,刘家窑 南三环中路 · 距离地铁刘家窑467米,59.1 平米 , 东西 , 1995年建,5 人关注 , 2020-01-15发布,近地铁随时看满五年近公园,单价53299元/m²,315万
中楼层 精装修 满五唯一,2室1厅1卫, 中楼层/6层 ,农展馆 麦子店街 · 距离地铁枣营539米,59.91 平米 , 南北 , 1986年建,3 人关注 , 2020-01-15发布,近地铁满五年,单价70105元/m²,420万
五环内，地铁口卢沟桥北里，中间层采光好无遮挡,2室1厅1卫, 中楼层/5层 ,卢沟桥 卢沟桥北里 · 距离地铁大瓦窑1159米,53.4 平米 , 南 , 1981年建,0 人关注 , 2020-01-15发布,近地铁随时看满五年近公园,单价45880元/m²,245万
德胜卫生部新德街 小区环境好低总价朝南一居室,1室1厅1卫, 地下室/7层 ,德胜门 新德街 · 距离地铁积水潭948米,43.7 平米 , 南北 , 1990年建,0 人关注 , 2020-01-13发布,近地铁近公园,单价157895元/m²,690万
三环内 5号线地铁口 中间层南北通透 随时看房,2室1厅1卫, 中楼层/6层 ,蒲黄榆 刘家窑南里 · 距离地铁蒲黄榆596米,54.5 平米 , 南北 , 1992年建,4 人关注 , 2020-01-10发布,近地铁随时看满五年近公园,单价57248元/m²,312万
航天桥 西三环北路86号院 楼龄新 低楼层两居室,2室1厅1卫, 底层/6层 ,甘家口 西三环北路86号院 · 距离地铁花园桥650米,64.51 平米 , 东西 , 1996年建,1 人关注 , 2020-01-10发布,近地铁随时看满五年近公园,单价90684元/m²,585万
天通苑西一区三居室东南北，三面采光，高楼层，商五一套,3室2厅2卫, 高楼层/13层 ,天通苑 天通苑西一区 · 距离地铁天通苑南618米,169.33 平米 , 南东北 , 2001年建,1 人关注 , 2020-01-10发布,近地铁满五年,单价36615元/m²,620万
把边户型西南朝向采光好客厅带窗户，满二年原值高南北通透大客厅,3室1厅1卫, 高楼层/14层 ,劲松 农光南路 · 距离地铁北工大西门580米,98.95 平米 , 南西北 , 1999年建,3 人关注 , 2020-01-10发布,近地铁满二年,单价56493元/m²,559万
滨河西里 南北通透两居室 满五年 明厅明卫,2室1厅1卫, 中楼层/6层 ,枣园 滨河西里 · 距离地铁清源路761米,55.77 平米 , 南北 , 1991年建,9 人关注 , 2020-01-09发布,近地铁满五年,单价40344元/m²,225万
