title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
品质小区，楼层好，临近内环。,1室0厅1卫, 低楼层/6层 ,甘泉宜川 宜川五村 · 距离地铁中潭路800米,30.68 平米 , 南 , 1983年建,2 人关注 , 2020-01-13发布,近地铁满五年,单价53781元/m²,165万
2000年房龄，一梯三户，西边套全明，看中可谈！,2室1厅1卫, 中楼层/6层 ,华东理工 梅陇九村,56 平米 , 南北 , 2000年建,1 人关注 , 2019-12-27发布,满五年,单价51786元/m²,290万
临近内环，小区环境好,1室1厅1卫, 中楼层/6层 ,甘泉宜川 新黄小区 · 距离地铁新村路604米,42.68 平米 , 南 , 1995年建,3 人关注 , 2020-01-10发布,近地铁满五年,单价45689元/m²,195万
品质小区 朝南一室一厅，房东诚心出售,1室0厅1卫, 底层/6层 ,甘泉宜川 子长小区 · 距离地铁中潭路1050米,31.92 平米 , 南 , 1987年建,3 人关注 , 2019-12-15发布,近地铁满五年,单价56391元/m²,180万
新出，3楼，南北双阳台，学籍没有占用,2室1厅1卫, 中楼层/6层 ,南站 汇成五村 · 距离地铁上海南站1390米,58.9 平米 , 南北 , 1994年建,2 人关注 , 2019-12-26发布,近地铁满五年,单价50934元/m²,300万
双南双阳台，楼间距大，采光好，全明户型，看房有钥匙,2室2厅1卫, 低楼层/5层 ,古美罗阳 平阳四街坊 · 距离地铁顾戴路916米,77.49 平米 , 南 , 1998年建,1 人关注 , 2019-12-21发布,近地铁随时看满五年近公园,单价56523元/m²,438万
长桥一村，正南一房，户型正气，诚心出售。,1室1厅1卫, 中楼层/6层 ,长桥 长桥一村,38.77 平米 , 南 , 2001年建,1 人关注 , 2019-12-29发布,满五年,单价95435元/m²,370万
新挂牌梅陇十一村满五年.四楼南北通透户型好,2室0厅1卫, 中楼层/6层 ,华东理工 梅陇十一村,46.94 平米 , 南北 , 2001年建,1 人关注 , 2019-12-09发布,随时看满五年,单价55390元/m²,260万
三房两厅两卫，空关钥匙房，买一层，带一层，复试结构。,2室2厅1卫, 顶层/6层 ,曹家渡 姚西小区 · 距离地铁武宁路565米,56.68 平米 , 南 , 2001年建,1 人关注 , 2019-11-17发布,近地铁满五年,单价73218元/m²,415万
专人委托，有钥匙随时看房，底层一房带天井，房东诚心,1室1厅1卫, 底层/6层 ,金杨 罗山七村-博山东路173弄 · 距离地铁德平路655米,43.38 平米 , 南 , 1996年建,1 人关注 , 2019-11-17发布,近地铁随时看,单价53020元/m²,230万
